id,title,description,author,image,date,categories,extern_url
250910,教师节快乐！,教诲如春风，师恩深似海；桃李满天下，春晖遍四方。祝愿课题组所有老师节日快乐，身体健康，工作顺利！,韩自强 等,250910.png,2025-09-10,"[""节日"",""文化建设""]",https://mp.weixin.qq.com/s/YlsdXZv6foFlHKcczbW5ng
250911,欢迎2025级硕士新生：新篇开启·共赴未来,欢迎2025级硕士新生：新篇开启·共赴未来,韩自强 等,250911.png,2025-09-11,"[""迎新"",""文化建设""]",https://mp.weixin.qq.com/s/GXol6IRQUPjSdNyk-YaZXw
25091101,欢迎2025级博士新生：新篇开启·共赴未来,欢迎2025级博士新生：新篇开启·共赴未来,曹欣赫 等,250911.png,2025-09-11,"[""迎新"",""文化建设""]",https://mp.weixin.qq.com/s/LLq0fo3lcwaItTfCJoX_EA
250923,基于相分离负荷的相变吸收剂捕获CO2的相变预测模型及构效关系,该文章以“Phase separation prediction modeling and structure-activity relationship of CO2 capture by biphasic amine absorbents based on phase separation load”为题，发表于《Chemical Engineering Journa》期刊。课题组高晓艺为本文第一作者，李小姗、张立麒为共同通讯作者。,高晓艺 等,250923.png,2025-09-23,"[""组内成果"",""CEJ""]",https://mp.weixin.qq.com/s/_12dA0zw-BiUULxwXRfiqg
251012,重新探讨溶液聚集在二氧化碳解吸中的作用：相变吸收剂中传质与能耗的见解,该文章以“Revisiting the role of solution aggregation in CO₂ desorption: Insights of mass transfer and energy consumption in phase-change absorbents”为题，发表于《Chemical Engineering Journal》期刊。课题组徐彬为本文第一作者，李小姗为本文通讯作者。,徐彬 等,251012.png,2025-10-12,"[""组内成果"",""CEJ""]",https://mp.weixin.qq.com/s/XsY5eRAZe2ZBvixOW7-npA
25101201,一种新的质量传递动力学模型，用于预测CO₂捕获中双相吸收剂相分离行为,该文章以“Novel mass transfer kinetics model for predicting phase separation behavior in CO₂ capture with energy-saving biphasic absorbents”为题，发表于《Journal of Cleaner Production》期刊。课题组徐彬为本文第一作者，李小姗为本文通讯作者。,徐彬 等,251012_1.png,2025-10-12,"[""组内成果"",""JCLP""]",https://mp.weixin.qq.com/s/5hSnfvPS-YDso_a8NRJGmw
260105,富二氧化碳胺溶液再生能耗分析与评估：一种基于气液传质与平衡方法,该文章以“Desorption energy analysis and assessment for CO2-rich amine solution regeneration: a mass transfer and equilibrium approach”为题，发表于《Chemical Engineering Science》期刊。课题组博士四年级研究生徐彬为本文第一作者，李小姗为本文通讯作者。,徐彬 等,260105.png,2026-01-05,"[""组内成果"",""CES""]",https://mp.weixin.qq.com/s/SkPpFwbyJqZc2-cvALcbIA
260112,界面诱导的协同增效机理：CaO-Cu/CeO2双功能材料捕集CO2与原位加氢研究,该文章以“The interface-induced synergistic mechanism: enhanced CO2 capture and in-situ hydrogenation on CaO-Cu/CeO2 dual-functional materials”为题，发表于《International Journal of Hydrogen Energy》期刊。课题组樊昱为本文第一作者，张立麒为本文通讯作者。,樊昱 等,260112.png,2026-01-12,"[""组内成果"",""IJHE""]",https://mp.weixin.qq.com/s/2Q8jzMvUF31FaLuxqgyo3Q
260119,CEJ/ATE/JEI/Fuel | 查小健,"课题组博士生查小健在国际期刊《Chemical Engineering Journal》（中科院一区TOP, IF: 13.2）《Applied Thermal Engineering》(中科院二区，IF: 6.9)《Journal of Energy Institute》(中科院二区，IF: 6.2)《Fuel》(中科院二区，IF: 7.5)上发表一系列关于氨煤共燃/纯氨燃烧中NOx排放控制和生成机理相关的研究论文，张泽武助理研究员为通讯作者。",查小健 等,260119.png,2026-01-19,"[""组内成果"",""CEJ"",""ATE"",""JEI"",""Fuel""]",https://mp.weixin.qq.com/s/_93QGYRTIMUX68OvPKU3Qg
260120,针对碳捕集的煤灰与水泥共掺杂方法制备钙基吸附剂颗粒,课题组2024级硕士生侯丁明阳在国际期刊《Fuel》上发表钙基吸附剂的研究论文，罗聪教授为通讯作者。《Fuel》为中科院分区工程技术大类2区Top期刊，IF=7.5。,侯丁明阳 等,260120.png,2026-01-20,"[""组内成果"",""Fuel""]",https://mp.weixin.qq.com/s/DSN8aOcD_0KWwKK5LkV_xA
260122,胺链状二胺的反应热构效关系研究,课题组2023级博士生唐茜在国际期刊《Chemical Engineering Journal》上发表胺链状二胺的反应热构效关系研究论文，李小姗副教授、张立麒教授为通讯作者。《Chemical Engineering Journal》为中科院分区工程技术大类1区Top期刊，IF=13.2。,唐茜 等,260122.png,2026-01-22,"[""组内成果"",""CEJ""]",https://mp.weixin.qq.com/s/o9BVsBrlUSpoeI1z4eD5NQ
260216,策马扬鞭·研途逐梦|课题组2025年度总结,策马扬鞭·研途逐梦|课题组2025年度总结,周威佐,260216.png,2026-02-16,"[""文化建设""]",https://mp.weixin.qq.com/s/nUhZMGisk_2H9w7rzuDXrw
260507,毕业快乐：祝贺我组2026届硕士生答辩圆满结束,毕业快乐：祝贺我组2026届硕士生答辩圆满结束,周威佐 周紫宇,260507.png,2026-05-07,"[""学位论文答辩""]",https://mp.weixin.qq.com/s/MXdzn14n-fduFGnPB0hgYQ
260518,球磨辅助Al/Si共掺杂增强钙基CO₂吸附剂性能：结构演变和协同机制的研究,课题组2023级博士生杨鹏晖在国际期刊《Chemical Engineering Journal》上发表球磨辅助Al/Si共掺杂增强钙基CO₂吸附剂性能：结构演变和协同机制的研究论文，罗聪教授为通讯作者。《Chemical Engineering Journal》为中科院分区工程技术大类1区期刊，IF=13.2。,周紫宇 杨鹏晖,260518.png,2026-05-18,"[""组内成果"",""CEJ""]",https://mp.weixin.qq.com/s/lYKIkekJhgxOuGNmty3Z0A
26051801,潮湿环境下吸附剂的破碎机理与抗破碎结构设计,课题组2023级博士生杨鹏晖在国际期刊《Separation and Purification Technology》上发表潮湿环境下吸附剂的破碎机理与抗破碎结构设计的研究论文，罗聪教授为通讯作者。《Separation and Purification Technology》为中科院分区工程技术大类2区期刊，IF=9.0。,周紫宇 杨鹏晖,26051801.png,2026-05-18,"[""组内成果"",""SPT""]",https://mp.weixin.qq.com/s/1uxa4qSD_cJJzpGNkOzG9Q
